feature,importance
perceived_productivity_score,0.9117357837196853
job_satisfaction_score,0.05279691696869124
sleep_hours,0.0037498615227840406
weekly_offline_hours,0.003458336923575098
screen_time_before_sleep,0.0032766037063882906
work_life_balance,0.0030688683127198537
work_hours_per_day,0.003063008278951382
age,0.002723353568349263
number_of_notifications,0.0025617609607880257
digital_distraction_score,0.002182824576441099
daily_social_media_time,0.002144150367130555
days_feeling_burnout_per_month,0.0021137723723984436
breaks_during_work,0.0014987100463127198
stress_level,0.0013329607445734426
coffee_consumption_per_day,0.0011721180636745637
gender_Male,0.00030598410567526805
uses_focus_apps,0.0002871274194213192
social_platform_preference_Telegram,0.0002716458928187858
social_platform_preference_Instagram,0.0002572032171822947
gender_Other,0.00025265692399612454
job_type_Unemployed,0.0002502832357454363
has_digital_wellbeing_enabled,0.0002316956414767274
social_platform_preference_TikTok,0.00021995595190006564
job_type_Finance,0.00021538807353365606
job_type_IT,0.00021352826750985272
job_type_Health,0.00021207684461669888
job_type_Student,0.00020196383327075748
social_platform_preference_Twitter,0.00020146046038978262
